win,lose,probability
Philadelphia 76ers,Boston Celtics,0.5007108387221767
Golden State Warriors,Los Angeles Lakers,0.8234813419125248
Houston Rockets,Oklahoma City Thunder,0.6764234559058668
Milwaukee Bucks,New York Knicks,0.7069129060357559
Portland Trail Blazers,Utah Jazz,0.5147251796578466
Indiana Pacers,Atlanta Hawks,0.8327053038570094
Charlotte Hornets,Brooklyn Nets,0.6190780218490687
Minnesota Timberwolves,Chicago Bulls,0.7884878462197953
New Orleans Pelicans,Dallas Mavericks,0.8073464553576062
Washington Wizards,Detroit Pistons,0.6018207154991969
Los Angeles Clippers,Sacramento Kings,0.7924285302921454
Cleveland Cavaliers,Memphis Grizzlies,0.8570054156919793
Toronto Raptors,Miami Heat,0.7359702756260093
Orlando Magic,Phoenix Suns,0.7326236890736172
Denver Nuggets,San Antonio Spurs,0.5179938246657859
Golden State Warriors,Portland Trail Blazers,0.625758446672615
Houston Rockets,Boston Celtics,0.5941450524263818
Milwaukee Bucks,New York Knicks,0.7591495452607889
Los Angeles Lakers,Sacramento Kings,0.6293928499496855
Philadelphia 76ers,Utah Jazz,0.5590800876010433
Charlotte Hornets,Brooklyn Nets,0.6891541757775261
San Antonio Spurs,Denver Nuggets,0.5348574244348678
Indiana Pacers,Detroit Pistons,0.6119002865747196
Los Angeles Clippers,Los Angeles Lakers,0.5499373778569007
Cleveland Cavaliers,Miami Heat,0.587960604488851
Minnesota Timberwolves,Atlanta Hawks,0.847728159006744
New Orleans Pelicans,Dallas Mavericks,0.8360471933317472
Toronto Raptors,Orlando Magic,0.8953175144526729
Oklahoma City Thunder,Phoenix Suns,0.8750466233596351
Washington Wizards,Chicago Bulls,0.8296596823195531
Cleveland Cavaliers,Atlanta Hawks,0.833271571995522
San Antonio Spurs,Los Angeles Clippers,0.609490849083076
Boston Celtics,Memphis Grizzlies,0.89910637357941
Milwaukee Bucks,Brooklyn Nets,0.7560146150483867
Houston Rockets,New Orleans Pelicans,0.7733981841172217
Denver Nuggets,Phoenix Suns,0.8652300281118951
Golden State Warriors,Portland Trail Blazers,0.6445400815224148
Utah Jazz,New York Knicks,0.8187596231702943
Washington Wizards,Charlotte Hornets,0.6469231504311634
Oklahoma City Thunder,Dallas Mavericks,0.8157862571639943
Los Angeles Lakers,Sacramento Kings,0.7377060689071359
Minnesota Timberwolves,Miami Heat,0.5558352204418296
Detroit Pistons,Orlando Magic,0.7078980557943282
Philadelphia 76ers,Portland Trail Blazers,0.5580533672188592
Toronto Raptors,Chicago Bulls,0.9223879760414978
Charlotte Hornets,Orlando Magic,0.7349145994297035
Houston Rockets,Memphis Grizzlies,0.9456677024954476
Indiana Pacers,Atlanta Hawks,0.843679487070218
New Orleans Pelicans,Minnesota Timberwolves,0.508721662020845
Oklahoma City Thunder,Dallas Mavericks,0.8496077728523749
Golden State Warriors,Phoenix Suns,0.921869652328945
Boston Celtics,San Antonio Spurs,0.6260183214605114
Denver Nuggets,New York Knicks,0.8013569816659685
Philadelphia 76ers,Los Angeles Clippers,0.6583871215680878
Milwaukee Bucks,Detroit Pistons,0.5484376098043493
Portland Trail Blazers,Sacramento Kings,0.8257303352062733
Toronto Raptors,Utah Jazz,0.5989532638437676
Boston Celtics,Minnesota Timberwolves,0.5814411550384467
New Orleans Pelicans,Brooklyn Nets,0.7981453493986148
Chicago Bulls,Orlando Magic,0.5755397073559156
Charlotte Hornets,Dallas Mavericks,0.7297972639923749
Cleveland Cavaliers,Miami Heat,0.5445424078083936
Oklahoma City Thunder,Los Angeles Lakers,0.6903662432206891
Detroit Pistons,Memphis Grizzlies,0.7683780186406102
Philadelphia 76ers,Phoenix Suns,0.8915010608446021
Washington Wizards,Atlanta Hawks,0.8210826912060247
Houston Rockets,Golden State Warriors,0.6446038738450371
Denver Nuggets,Sacramento Kings,0.8156930926139845
Toronto Raptors,San Antonio Spurs,0.6874152200298312
Boston Celtics,Dallas Mavericks,0.8724624223151013
Indiana Pacers,Chicago Bulls,0.808923247777787
Utah Jazz,Cleveland Cavaliers,0.5533165169847865
Los Angeles Lakers,New York Knicks,0.6864843180818387
Brooklyn Nets,Memphis Grizzlies,0.5652710871020159
Washington Wizards,Miami Heat,0.543189164232428
Milwaukee Bucks,Atlanta Hawks,0.8061081113766742
Minnesota Timberwolves,Orlando Magic,0.8384123338597507
Los Angeles Clippers,Phoenix Suns,0.7932982125766516
Oklahoma City Thunder,Portland Trail Blazers,0.5183506838729238
New Orleans Pelicans,Cleveland Cavaliers,0.501680893285917
Denver Nuggets,Charlotte Hornets,0.679948129679315
Utah Jazz,Detroit Pistons,0.6874041476112599
Toronto Raptors,Milwaukee Bucks,0.743966819837087
Philadelphia 76ers,Dallas Mavericks,0.8789593001326509
Houston Rockets,Portland Trail Blazers,0.7620986070459415
Golden State Warriors,Sacramento Kings,0.8905172162697608
San Antonio Spurs,Memphis Grizzlies,0.8765840140081366
Miami Heat,Atlanta Hawks,0.8035878778114451
Chicago Bulls,Brooklyn Nets,0.5202278201015439
Los Angeles Clippers,Orlando Magic,0.7851180030144627
Minnesota Timberwolves,Los Angeles Lakers,0.7107779477520838
Oklahoma City Thunder,Washington Wizards,0.54696113526381
Charlotte Hornets,Phoenix Suns,0.7314583299769082
Toronto Raptors,Indiana Pacers,0.6451476225041808
Boston Celtics,Brooklyn Nets,0.8488336415255182
Los Angeles Lakers,Dallas Mavericks,0.6090503922537053
San Antonio Spurs,Detroit Pistons,0.642156999980153
Houston Rockets,Denver Nuggets,0.6951470966337174
Utah Jazz,Milwaukee Bucks,0.6432971410569253
New Orleans Pelicans,Memphis Grizzlies,0.8789551878024422
Portland Trail Blazers,New York Knicks,0.8193767108874493
Sacramento Kings,Orlando Magic,0.5542070769605106
Indiana Pacers,Cleveland Cavaliers,0.5043519534134531
Golden State Warriors,New York Knicks,0.8890374962864225
Los Angeles Clippers,Charlotte Hornets,0.6101676898519022
Denver Nuggets,Miami Heat,0.5766586476859096
Oklahoma City Thunder,Minnesota Timberwolves,0.5342741192072198
Philadelphia 76ers,Washington Wizards,0.6081359535753164
Sacramento Kings,Phoenix Suns,0.5275781570404853
Toronto Raptors,Atlanta Hawks,0.9180186833413572
Boston Celtics,Indiana Pacers,0.5502047407893895
Brooklyn Nets,Atlanta Hawks,0.6064756370354597
Dallas Mavericks,Phoenix Suns,0.7382746388290053
Houston Rockets,Milwaukee Bucks,0.7409711035286579
Detroit Pistons,Los Angeles Lakers,0.542380215762867
San Antonio Spurs,Memphis Grizzlies,0.8556926685708268
Cleveland Cavaliers,New Orleans Pelicans,0.5240750009806541
Portland Trail Blazers,Chicago Bulls,0.8639558415928337
Utah Jazz,Orlando Magic,0.8474100516074098
Philadelphia 76ers,Washington Wizards,0.6221279902217374
Denver Nuggets,Los Angeles Clippers,0.6012426477821635
Boston Celtics,Miami Heat,0.6796661731599961
Detroit Pistons,Sacramento Kings,0.7195928359566722
Oklahoma City Thunder,San Antonio Spurs,0.5396458225278292
Golden State Warriors,Chicago Bulls,0.9181414606787517
Houston Rockets,Cleveland Cavaliers,0.6852111139368464
Minnesota Timberwolves,Dallas Mavericks,0.8348439680722095
Indiana Pacers,New York Knicks,0.7594313594536365
Philadelphia 76ers,Atlanta Hawks,0.8888601151876508
Portland Trail Blazers,Charlotte Hornets,0.7049259899361157
Toronto Raptors,Brooklyn Nets,0.8930003692763128
Utah Jazz,Los Angeles Lakers,0.7245477906709091
Milwaukee Bucks,Washington Wizards,0.5062802078702132
Los Angeles Clippers,Detroit Pistons,0.5338527061657032
Miami Heat,Memphis Grizzlies,0.8485671125225753
New Orleans Pelicans,Minnesota Timberwolves,0.5225775731514077
Oklahoma City Thunder,San Antonio Spurs,0.5041795458337506
Boston Celtics,Orlando Magic,0.866846192422234
Denver Nuggets,Phoenix Suns,0.8652300281118951
Charlotte Hornets,Sacramento Kings,0.6524994386554763
Utah Jazz,Chicago Bulls,0.8634656772495002
Milwaukee Bucks,Atlanta Hawks,0.7917977563888375
Golden State Warriors,Dallas Mavericks,0.8818163919583338
Portland Trail Blazers,Denver Nuggets,0.542915872314468
Cleveland Cavaliers,Los Angeles Lakers,0.681655636011048
Philadelphia 76ers,New York Knicks,0.7947674463846243
Houston Rockets,Orlando Magic,0.9313673034367456
Toronto Raptors,Washington Wizards,0.7247020105571071
Boston Celtics,Brooklyn Nets,0.856460138924573
Houston Rockets,Memphis Grizzlies,0.9456677024954476
New Orleans Pelicans,Los Angeles Clippers,0.6085184752667575
Portland Trail Blazers,Sacramento Kings,0.8257303352062733
San Antonio Spurs,Charlotte Hornets,0.6868396363816622
Utah Jazz,Detroit Pistons,0.6351335171915806
Oklahoma City Thunder,Atlanta Hawks,0.8388146036110972
Golden State Warriors,Denver Nuggets,0.6709439915484179
Indiana Pacers,Phoenix Suns,0.9128132849018746
Los Angeles Lakers,Chicago Bulls,0.754015755402502
Miami Heat,Milwaukee Bucks,0.5490865004973967
Philadelphia 76ers,Minnesota Timberwolves,0.5958963863318345
Toronto Raptors,Boston Celtics,0.6158947522432372
San Antonio Spurs,Dallas Mavericks,0.8079808110567132
Detroit Pistons,Orlando Magic,0.7606377361862809
Golden State Warriors,New Orleans Pelicans,0.6342695024952985
Houston Rockets,Brooklyn Nets,0.9093628064023753
Utah Jazz,Los Angeles Clippers,0.6566600293926883
Milwaukee Bucks,Memphis Grizzlies,0.8201612354297831
Cleveland Cavaliers,Portland Trail Blazers,0.5082478868390038
Charlotte Hornets,Sacramento Kings,0.7433748305917796
Denver Nuggets,Chicago Bulls,0.849566993784729
Philadelphia 76ers,Indiana Pacers,0.5833221421327834
Oklahoma City Thunder,Los Angeles Lakers,0.7330865326092146
Toronto Raptors,Phoenix Suns,0.9559904619491605
Washington Wizards,New York Knicks,0.7767463907999088
Boston Celtics,Memphis Grizzlies,0.906901450450398
Miami Heat,Detroit Pistons,0.5975550477240854
Golden State Warriors,Los Angeles Clippers,0.7345777672094215
San Antonio Spurs,Minnesota Timberwolves,0.5235962916049742
Orlando Magic,Brooklyn Nets,0.5128459660874913
New Orleans Pelicans,Portland Trail Blazers,0.5045597452580758
Cleveland Cavaliers,Utah Jazz,0.5092885699196659
Boston Celtics,Atlanta Hawks,0.8813932411034748
Miami Heat,Chicago Bulls,0.7767761930607523
Charlotte Hornets,Phoenix Suns,0.8522990582245785
Cleveland Cavaliers,Denver Nuggets,0.5375113138099318
Detroit Pistons,Sacramento Kings,0.7685355742706365
Houston Rockets,Los Angeles Lakers,0.8559580644297055
Indiana Pacers,Dallas Mavericks,0.8305212126103128
Milwaukee Bucks,Orlando Magic,0.7691401364248648
Philadelphia 76ers,Oklahoma City Thunder,0.5539614196694693
Toronto Raptors,Memphis Grizzlies,0.9353936357433521
Indiana Pacers,Charlotte Hornets,0.6830244212562612
Minnesota Timberwolves,Phoenix Suns,0.9152512678343848
San Antonio Spurs,Los Angeles Clippers,0.608853973580784
Atlanta Hawks,Orlando Magic,0.5355886443688299
Boston Celtics,Miami Heat,0.5980987424694317
Brooklyn Nets,Sacramento Kings,0.600121820896877
Cleveland Cavaliers,Chicago Bulls,0.8653037105176925
Golden State Warriors,Los Angeles Lakers,0.7897668910442265
New Orleans Pelicans,Memphis Grizzlies,0.8551876840040039
Milwaukee Bucks,Dallas Mavericks,0.7905723163228737
Oklahoma City Thunder,New York Knicks,0.7674692722355856
Houston Rockets,Philadelphia 76ers,0.705596935853577
Portland Trail Blazers,Utah Jazz,0.5147251796578466
Washington Wizards,Detroit Pistons,0.572765399044965
Los Angeles Clippers,Dallas Mavericks,0.7081965598794497
Portland Trail Blazers,Oklahoma City Thunder,0.5039279443999827
Minnesota Timberwolves,Phoenix Suns,0.8550325857622001
Toronto Raptors,Sacramento Kings,0.9159983028861806
Boston Celtics,Cleveland Cavaliers,0.5491971960841591
Brooklyn Nets,Orlando Magic,0.5895465401314202
Chicago Bulls,Atlanta Hawks,0.5926473401381722
Toronto Raptors,Indiana Pacers,0.6912014794349707
Charlotte Hornets,Memphis Grizzlies,0.7082244721346956
Miami Heat,Los Angeles Clippers,0.5511781980267316
New Orleans Pelicans,Detroit Pistons,0.6213042486652889
Houston Rockets,New York Knicks,0.9076153666197525
Philadelphia 76ers,San Antonio Spurs,0.5665532799664438
Utah Jazz,Denver Nuggets,0.50232767492542
Minnesota Timberwolves,Los Angeles Lakers,0.6525180724077501
Oklahoma City Thunder,New Orleans Pelicans,0.5052003510431555
Portland Trail Blazers,Phoenix Suns,0.8729895822607755
Golden State Warriors,Washington Wizards,0.7027545289048096
Brooklyn Nets,New York Knicks,0.5388284152916019
Los Angeles Clippers,Chicago Bulls,0.7080900750162752
Cleveland Cavaliers,Miami Heat,0.5445424078083936
Detroit Pistons,Dallas Mavericks,0.7018561046379306
Denver Nuggets,Phoenix Suns,0.9116787494885814
Houston Rockets,Toronto Raptors,0.527033041806261
Memphis Grizzlies,Sacramento Kings,0.5012082802116042
Milwaukee Bucks,Charlotte Hornets,0.6240463599725452
Washington Wizards,Orlando Magic,0.7848752684843616
Utah Jazz,Minnesota Timberwolves,0.5235091931763296
Golden State Warriors,Boston Celtics,0.5901782758814186
Philadelphia 76ers,Denver Nuggets,0.5867627394409424
Indiana Pacers,Memphis Grizzlies,0.8565058747645649
San Antonio Spurs,New Orleans Pelicans,0.5214126594745168
Portland Trail Blazers,Atlanta Hawks,0.8568076882028904
Cleveland Cavaliers,Chicago Bulls,0.8095516037927017
Toronto Raptors,Dallas Mavericks,0.8925638690785993
Houston Rockets,Orlando Magic,0.92617828246689
Los Angeles Clippers,Sacramento Kings,0.7924285302921454
Los Angeles Lakers,Phoenix Suns,0.8485461811273034
Utah Jazz,Minnesota Timberwolves,0.5738870380134871
Miami Heat,New York Knicks,0.7218211255556513
Oklahoma City Thunder,Milwaukee Bucks,0.5693609513007222
San Antonio Spurs,Washington Wizards,0.515963826340994
Boston Celtics,Brooklyn Nets,0.8488336415255182
Charlotte Hornets,New York Knicks,0.692799104871719
Golden State Warriors,Indiana Pacers,0.6678074791161532
Los Angeles Clippers,Atlanta Hawks,0.7967615393871825
Denver Nuggets,Memphis Grizzlies,0.8512157255634384
Brooklyn Nets,Chicago Bulls,0.6205865994540387
Cleveland Cavaliers,Washington Wizards,0.5401320045117881
Milwaukee Bucks,Detroit Pistons,0.5798634149440617
Houston Rockets,New Orleans Pelicans,0.6883850012437793
Philadelphia 76ers,Los Angeles Lakers,0.7234544054769505
Oklahoma City Thunder,Orlando Magic,0.820111149613597
San Antonio Spurs,Phoenix Suns,0.9142100848205488
Boston Celtics,Charlotte Hornets,0.7505014947866594
Miami Heat,Chicago Bulls,0.8214196802137239
Minnesota Timberwolves,Memphis Grizzlies,0.8780209147698218
Denver Nuggets,New Orleans Pelicans,0.5124737131003441
New York Knicks,Dallas Mavericks,0.6391890404903698
Utah Jazz,Portland Trail Blazers,0.556160975488332
Sacramento Kings,Atlanta Hawks,0.571534424010403
Indiana Pacers,Washington Wizards,0.5730360343389843
Detroit Pistons,Dallas Mavericks,0.7558520050307934
Golden State Warriors,Philadelphia 76ers,0.5831094661099946
Los Angeles Clippers,Los Angeles Lakers,0.633775470186621
Indiana Pacers,Orlando Magic,0.8134506034307705
San Antonio Spurs,Brooklyn Nets,0.803699531716782
Toronto Raptors,Milwaukee Bucks,0.704101103124687
Charlotte Hornets,Memphis Grizzlies,0.7936487014561373
Houston Rockets,Denver Nuggets,0.7827139906688726
Oklahoma City Thunder,Miami Heat,0.59772194949909
Boston Celtics,New York Knicks,0.8249616774420976
Utah Jazz,Atlanta Hawks,0.8562960530438362
Charlotte Hornets,Chicago Bulls,0.7594469685766952
Cleveland Cavaliers,Dallas Mavericks,0.8460567379936823
Los Angeles Clippers,Detroit Pistons,0.5086083332939488
Golden State Warriors,Los Angeles Lakers,0.8234813419125248
Indiana Pacers,Miami Heat,0.5869741459100807
Denver Nuggets,Minnesota Timberwolves,0.5146601668811834
Orlando Magic,Brooklyn Nets,0.5128459660874913
Atlanta Hawks,Phoenix Suns,0.5209566754277809
Philadelphia 76ers,Sacramento Kings,0.849945806821506
New Orleans Pelicans,San Antonio Spurs,0.5259069443500616
Houston Rockets,Utah Jazz,0.7628527367081318
Milwaukee Bucks,Washington Wizards,0.5062802078702132
Boston Celtics,Oklahoma City Thunder,0.5391661930859681
New York Knicks,Memphis Grizzlies,0.7161233741049001
Toronto Raptors,Los Angeles Clippers,0.760364720407403
Milwaukee Bucks,Brooklyn Nets,0.7533018826250361
Denver Nuggets,Detroit Pistons,0.6338897741003724
Indiana Pacers,New Orleans Pelicans,0.5230596624042199
Houston Rockets,Phoenix Suns,0.9542232111292692
San Antonio Spurs,Sacramento Kings,0.8210141627585807
Washington Wizards,Atlanta Hawks,0.8210826912060247
Los Angeles Clippers,Charlotte Hornets,0.5426246724689661
Boston Celtics,Cleveland Cavaliers,0.6030466442611676
Indiana Pacers,Los Angeles Lakers,0.7043578702035624
Minnesota Timberwolves,Memphis Grizzlies,0.8401537861614545
Detroit Pistons,New York Knicks,0.6369550831969163
Oklahoma City Thunder,Orlando Magic,0.8529133520926631
Toronto Raptors,Philadelphia 76ers,0.6016767041163483
Portland Trail Blazers,Miami Heat,0.5416848493892844
Denver Nuggets,Brooklyn Nets,0.7929875471731247
New Orleans Pelicans,Chicago Bulls,0.8072663054931244
Charlotte Hornets,Dallas Mavericks,0.6326851028197756
Golden State Warriors,San Antonio Spurs,0.6333217087818501
Washington Wizards,Milwaukee Bucks,0.5534820195333439
Houston Rockets,Sacramento Kings,0.9349374364443905
Utah Jazz,Phoenix Suns,0.9203766867266711
Toronto Raptors,Atlanta Hawks,0.9070874688392198
Boston Celtics,Los Angeles Lakers,0.7688305672240636
Indiana Pacers,Los Angeles Clippers,0.6046355651877812
Oklahoma City Thunder,Memphis Grizzlies,0.8894361675911633
Minnesota Timberwolves,Orlando Magic,0.7933757180341862
San Antonio Spurs,Portland Trail Blazers,0.5055805353144986
Brooklyn Nets,Chicago Bulls,0.6205865994540387
Milwaukee Bucks,Dallas Mavericks,0.7639425250848695
Detroit Pistons,New York Knicks,0.7210578474901066
New Orleans Pelicans,Minnesota Timberwolves,0.508721662020845
Philadelphia 76ers,Denver Nuggets,0.57532235310346
Golden State Warriors,Phoenix Suns,0.921869652328945
Miami Heat,Sacramento Kings,0.7914657461027815
Cleveland Cavaliers,Washington Wizards,0.5740316241212283
Charlotte Hornets,Atlanta Hawks,0.6693246508332343
Boston Celtics,Los Angeles Clippers,0.6810064255578878
Washington Wizards,Chicago Bulls,0.7798421115518849
Houston Rockets,Oklahoma City Thunder,0.6764234559058668
Cleveland Cavaliers,Indiana Pacers,0.5339863297167383
New Orleans Pelicans,Memphis Grizzlies,0.8551876840040039
Milwaukee Bucks,Orlando Magic,0.7948621770183099
Toronto Raptors,New York Knicks,0.8609522859589489
San Antonio Spurs,Utah Jazz,0.5066213835406025
Atlanta Hawks,Orlando Magic,0.5355886443688299
Portland Trail Blazers,Dallas Mavericks,0.8129621688492435
Golden State Warriors,Miami Heat,0.6761082938174234
Philadelphia 76ers,Los Angeles Lakers,0.7792709558977227
Sacramento Kings,Phoenix Suns,0.7212618630747898
Milwaukee Bucks,Chicago Bulls,0.7638495996557995
Cleveland Cavaliers,New York Knicks,0.8210747811482584
Denver Nuggets,Miami Heat,0.5124459660805386
Washington Wizards,Detroit Pistons,0.6018207154991969
Houston Rockets,Dallas Mavericks,0.9243732402878149
Indiana Pacers,Charlotte Hornets,0.6830244212562612
Minnesota Timberwolves,Los Angeles Clippers,0.6120283686240211
Portland Trail Blazers,Oklahoma City Thunder,0.5039279443999827
Toronto Raptors,Brooklyn Nets,0.8930003692763128
Los Angeles Lakers,Atlanta Hawks,0.6467311203766407
Golden State Warriors,Utah Jazz,0.5849727003500138
San Antonio Spurs,Memphis Grizzlies,0.8556926685708268
New Orleans Pelicans,Orlando Magic,0.8395945572029576
Boston Celtics,Philadelphia 76ers,0.5348350581371851
Boston Celtics,Detroit Pistons,0.6875929155363532
Chicago Bulls,Memphis Grizzlies,0.6529084566510319
Cleveland Cavaliers,Brooklyn Nets,0.81855322469153
Miami Heat,Dallas Mavericks,0.7768655177591844
Denver Nuggets,Sacramento Kings,0.8382335179557814
Indiana Pacers,Milwaukee Bucks,0.5342069709589841
Los Angeles Clippers,Phoenix Suns,0.8837869259838278
Houston Rockets,Minnesota Timberwolves,0.7749283786950009
Philadelphia 76ers,New York Knicks,0.7947674463846243
Golden State Warriors,Portland Trail Blazers,0.6445400815224148
Toronto Raptors,Washington Wizards,0.6848302536198718
New York Knicks,Atlanta Hawks,0.5159616746574883
Oklahoma City Thunder,New Orleans Pelicans,0.5341506728332907
Charlotte Hornets,Orlando Magic,0.63940863688753
Portland Trail Blazers,Brooklyn Nets,0.8039641441990567
Cleveland Cavaliers,Phoenix Suns,0.9215182162059696
Golden State Warriors,Sacramento Kings,0.9114357468720988
Houston Rockets,Los Angeles Lakers,0.8690535216040617
Boston Celtics,Milwaukee Bucks,0.6886465619507869
Philadelphia 76ers,Miami Heat,0.6123622233984758
Detroit Pistons,Atlanta Hawks,0.7344913869441841
Washington Wizards,Charlotte Hornets,0.6340274717917839
Denver Nuggets,Dallas Mavericks,0.8023655437748292
New Orleans Pelicans,Indiana Pacers,0.5303128339385546
Los Angeles Clippers,Memphis Grizzlies,0.7737598073847537
Minnesota Timberwolves,New York Knicks,0.735434022320475
Utah Jazz,Oklahoma City Thunder,0.5465037567970112
Orlando Magic,Chicago Bulls,0.599858877847832
Toronto Raptors,San Antonio Spurs,0.6466573684981274
Atlanta Hawks,Phoenix Suns,0.7059181894533635
Boston Celtics,Chicago Bulls,0.8633970779266475
Charlotte Hornets,Brooklyn Nets,0.6891541757775261
Cleveland Cavaliers,Memphis Grizzlies,0.886700143488399
Houston Rockets,Golden State Warriors,0.6446038738450371
Miami Heat,Detroit Pistons,0.5587082809770947
Minnesota Timberwolves,Milwaukee Bucks,0.5660707612595961
New Orleans Pelicans,Los Angeles Lakers,0.7125738512329385
Oklahoma City Thunder,Sacramento Kings,0.8583335846880106
Philadelphia 76ers,Portland Trail Blazers,0.5585727325158786
Utah Jazz,Dallas Mavericks,0.8440034137042993
Indiana Pacers,Washington Wizards,0.5730360343389843
Denver Nuggets,Los Angeles Clippers,0.6012426477821635
San Antonio Spurs,New York Knicks,0.7582233095051981
Toronto Raptors,Orlando Magic,0.9125595940763177
San Antonio Spurs,Brooklyn Nets,0.7988024516331365
Milwaukee Bucks,Chicago Bulls,0.7638495996557995
Golden State Warriors,Charlotte Hornets,0.7848262847578701
Portland Trail Blazers,Cleveland Cavaliers,0.5108077796758417
Indiana Pacers,Detroit Pistons,0.6436724421845502
Houston Rockets,Atlanta Hawks,0.9308515547393632
Los Angeles Clippers,Dallas Mavericks,0.7806805960435433
Los Angeles Lakers,Memphis Grizzlies,0.687046067568989
Miami Heat,Phoenix Suns,0.8936989367658306
Minnesota Timberwolves,Sacramento Kings,0.844269368711658
Philadelphia 76ers,New Orleans Pelicans,0.5736222656570127
Oklahoma City Thunder,Denver Nuggets,0.5475481102203558
New York Knicks,Orlando Magic,0.645188102334895
Toronto Raptors,Boston Celtics,0.5490937599294156
Minnesota Timberwolves,Atlanta Hawks,0.8142292510667107
Boston Celtics,Portland Trail Blazers,0.5438045008344912
Washington Wizards,Brooklyn Nets,0.769793427733569
Houston Rockets,Charlotte Hornets,0.8656592515524155
Indiana Pacers,Dallas Mavericks,0.8090028716175555
New Orleans Pelicans,Los Angeles Lakers,0.6784452244830028
Memphis Grizzlies,Chicago Bulls,0.5227091633774597
Golden State Warriors,Miami Heat,0.7145673093085007
Milwaukee Bucks,Sacramento Kings,0.7791479486939209
San Antonio Spurs,Detroit Pistons,0.6160903986633285
Utah Jazz,Los Angeles Clippers,0.6280393280635218
Utah Jazz,Denver Nuggets,0.5849018389061557
Houston Rockets,Miami Heat,0.7267005948543324
Minnesota Timberwolves,Indiana Pacers,0.501222636000557
Cleveland Cavaliers,New York Knicks,0.7601742169970513
Philadelphia 76ers,Oklahoma City Thunder,0.5484038899878904
Golden State Warriors,Orlando Magic,0.8848099508877254
Atlanta Hawks,Chicago Bulls,0.5677171928604421
Boston Celtics,Washington Wizards,0.5938201126366953
Charlotte Hornets,Brooklyn Nets,0.6190780218490687
Milwaukee Bucks,Los Angeles Lakers,0.6196808143107754
New Orleans Pelicans,Phoenix Suns,0.868885487031302
Los Angeles Clippers,Sacramento Kings,0.7257035088299928
Toronto Raptors,Portland Trail Blazers,0.6392124745949065
Cleveland Cavaliers,Detroit Pistons,0.6387594039685291
Dallas Mavericks,Memphis Grizzlies,0.6527916876376613
New Orleans Pelicans,Denver Nuggets,0.5338413475453173
Indiana Pacers,Orlando Magic,0.8341644232348067
Miami Heat,Brooklyn Nets,0.7635990837656579
Golden State Warriors,Philadelphia 76ers,0.5756641559500977
Los Angeles Lakers,Phoenix Suns,0.711278844180986
Oklahoma City Thunder,San Antonio Spurs,0.5396458225278292
Utah Jazz,Milwaukee Bucks,0.5587372128721765
Houston Rockets,Boston Celtics,0.7178450953376242
Chicago Bulls,Atlanta Hawks,0.5926473401381722
Portland Trail Blazers,Charlotte Hornets,0.6799726133487203
Cleveland Cavaliers,Orlando Magic,0.849426535286534
Toronto Raptors,Detroit Pistons,0.7798851161053069
Los Angeles Clippers,New York Knicks,0.7482462846667368
Oklahoma City Thunder,Memphis Grizzlies,0.8894361675911633
Minnesota Timberwolves,Washington Wizards,0.5416668106361117
Brooklyn Nets,Dallas Mavericks,0.583214436248439
Los Angeles Clippers,Los Angeles Lakers,0.5499373778569007
Miami Heat,Atlanta Hawks,0.8125215431507993
Milwaukee Bucks,Phoenix Suns,0.8365389135978851
Sacramento Kings,New York Knicks,0.5028049068807379
Denver Nuggets,San Antonio Spurs,0.5179938246657859
New Orleans Pelicans,Utah Jazz,0.5056006410095408
Golden State Warriors,Boston Celtics,0.5347252726676437
Indiana Pacers,Chicago Bulls,0.8513693142838339
Portland Trail Blazers,Memphis Grizzlies,0.8596512855408821
Oklahoma City Thunder,Minnesota Timberwolves,0.5363278689175619
Philadelphia 76ers,Orlando Magic,0.8817095632568825
Houston Rockets,Toronto Raptors,0.6312349087567062
San Antonio Spurs,Atlanta Hawks,0.8317837062745115
Cleveland Cavaliers,Brooklyn Nets,0.8005120719984055
Philadelphia 76ers,Chicago Bulls,0.8385353045731873
Miami Heat,Charlotte Hornets,0.6298946483553381
Minnesota Timberwolves,Detroit Pistons,0.6139970793085674
Denver Nuggets,Los Angeles Lakers,0.6714877342397298
Utah Jazz,New Orleans Pelicans,0.5717453797153013
New York Knicks,Phoenix Suns,0.589226916376317
Boston Celtics,Sacramento Kings,0.873316066430802
Washington Wizards,Dallas Mavericks,0.8064586731693006
Indiana Pacers,Milwaukee Bucks,0.5970123614110685
Oklahoma City Thunder,Portland Trail Blazers,0.5183506838729238
Detroit Pistons,Chicago Bulls,0.7017482804388172
Washington Wizards,Charlotte Hornets,0.6340274717917839
Golden State Warriors,Denver Nuggets,0.6415945094617593
Houston Rockets,Philadelphia 76ers,0.6405043536821781
Oklahoma City Thunder,Los Angeles Clippers,0.6215859392630225
Utah Jazz,Memphis Grizzlies,0.8790259944228221
Cleveland Cavaliers,Miami Heat,0.587960604488851
Toronto Raptors,New Orleans Pelicans,0.6826466577881215
Orlando Magic,Dallas Mavericks,0.5618863939114495
Brooklyn Nets,Atlanta Hawks,0.5202236068357677
Boston Celtics,Los Angeles Lakers,0.7609851224778571
Milwaukee Bucks,Charlotte Hornets,0.6240463599725452
Minnesota Timberwolves,Washington Wizards,0.5192968933143317
New York Knicks,Sacramento Kings,0.6551683110783013
Portland Trail Blazers,Phoenix Suns,0.9206813063665893
New Orleans Pelicans,Atlanta Hawks,0.8312115589043295
